movie_slug,imdb_id,language,oscar_wins,oscar_nominations
almost-famous,tt0181875,English,1,5
along-came-a-spider,tt0164334,English,0,0
alpha-dog,tt0426883,English,0,0
alphaville,tt0058898,French,0,0
amadeus,tt0086879,English,11,15
amanda-2022,tt0115526,English,0,0
amazing-grace-1972,tt0071130,English,0,0
amelie,tt0211915,French,0,9
american-beauty,tt0169547,English,3,7
american-doctor,tt39149951,Arabic,0,0
american-factory,tt9351980,Mandarin,3,1
american-fiction,tt23561236,English,1,3
american-gangster,tt0765429,English,0,3
american-graffiti,tt0069704,English,0,6
american-history-x,tt0120586,English,0,1
american-honey,tt3721936,English,0,0
american-hustle,tt1800241,English,0,12
american-movie,tt0181288,English,0,0
american-pie,tt0122903,,0,0
american-pie-2,tt0252866,English,0,0
american-psycho,tt0144084,English,0,0
american-splendor,tt0305206,English,0,2
american-wedding,tt0328828,English,0,0
amistad,tt0118607,English,0,4
amores-perros,tt0245712,Spanish,0,1
amour,tt0124279,Danish,0,0
amy-2015,tt0082017,English,0,0
an-american-in-paris,tt0043278,English,12,13
an-autumn-afternoon,tt0056444,Japanese,0,0
an-education,tt1174732,English,0,2
an-elephant-sitting-still,tt8020896,Putonghua,0,0
an-inconvenient-truth,tt0497116,English,2,1
an-officer-and-a-gentleman,tt0084434,English,1,5
analyze-this,tt0122933,English,0,0
anatomy-of-a-fall,tt17009710,English,2,3
anatomy-of-a-murder,tt0052561,English,0,6
angels-demons,tt0808151,English,0,0
anger-management,tt0305224,English,0,0
animal-kingdom,tt1313092,English,0,1
annie-hall-1977,tt0075686,English,3,3
anomalisa,tt2401878,English,0,4
anora,tt11044414,,0,0
another-earth,tt1549572,English,0,0
another-year,tt1431181,English,0,1
anselm,tt27502250,German,0,0
antichrist,tt0870984,English,0,0
antz,tt0120587,English,0,0
anvil!-the-story-of-anvil,tt1157605,English,0,0
apocalypse-in-the-tropics,tt30012657,English,0,0
apocalypse-now,tt0078788,English,5,15
apocalypto,tt0472043,Yucatec Maya,0,5
apollo-11,tt8760684,English,0,0
apollo-13,tt0112384,English,6,17
appaloosa,tt0800308,English,0,0
april,tt0006368,,0,0
april-and-the-extraordinary-world,tt3422078,French,0,0
aquarius,tt0212774,,0,0
arabian-nights-volume-1-the-restless-one,tt3284178,Portuguese,0,0
arabian-nights-volume-2-the-desolate-one,tt4692234,Portuguese,0,0
araby,tt0295860,,0,0
archipelago,tt13667778,Innu-aimun,0,0
are-you-there-god-its-me-margaret,tt9185206,English,0,0
argo,tt0297741,Hungarian,0,0
arlington-road,tt0137363,English,0,0
army-of-darkness,tt0106308,English,0,0
army-of-shadows,tt0064040,French,0,0
arrebato-1979,tt0078797,Spanish,0,0
arrival,tt2543164,English,0,7
arthur-christmas,tt1430607,English,0,0
as-good-as-it-gets,tt0119822,English,2,7
ascension,tt0297745,,0,0
ash-is-purest-white,tt7298400,Standard Chinese,0,0
assault-on-precinct-13-1976,tt0074156,English,0,0
at-berkeley,tt3091552,English,0,0
atanarjuat-the-fast-runner,tt0285441,Inuktitut,0,0
athlete-a,tt11905462,English,0,0
atlantic-city,tt0036619,English,0,0
atlantics,tt10199586,Wolof,0,0
atlantis,tt0002646,Danish,0,0
atlantis-the-lost-empire,tt0230011,Atlantean,0,0
atonement,tt0009891,English,0,0
attack-the-block,tt1478964,English,0,0
attica,tt0270211,,0,0
au-hasard-balthazar,tt0060138,French,0,0
au-revoir-les-enfants,tt0092593,German,0,2
audition,tt0057230,,0,0
august-rush,tt0426931,English,0,0
autumn-tale,tt0137439,French,0,0
avatar,tt0154182,Bangla,0,0
avpr-aliens-vs-predator---requiem,tt0758730,English,0,0
awakenings,tt0099077,English,0,2
away-from-her,tt0491747,English,0,2
away-we-go,tt1176740,English,0,0
azor,tt11136276,Spanish,0,0
babe,tt0083606,,0,0
babel,tt0118664,French,0,0
baby-doll,tt0048973,English,0,4
baby-driver,tt3890160,English,0,4
back-to-the-future,tt0088763,English,0,6
back-to-the-future-part-ii,tt0096874,English,0,4
back-to-the-future-part-iii,tt0099088,English,0,0
backdraft,tt0101393,English,0,8
bacurau,tt2762506,Portuguese,0,0
bad-boys,tt0054904,Japanese,0,0
bad-boys-ii,tt0172156,English,0,0
bad-education,tt0275491,Latin,0,0
bad-lieutenant,tt0103759,English,0,0
badlands,tt0069762,English,0,0
bait-2019,tt0042220,English,0,0
ballast,tt1153690,English,0,0
ballets-russes,tt0436095,English,0,0
bamako,tt0814666,Bambara,0,0
bambi,tt0034492,English,0,3
band-of-outsiders-re-release,tt0057869,French,0,0
bandits,tt0090671,French,0,0
barbara,tt0066876,,0,0
barry-lyndon,tt0072684,English,7,8
barton-fink,tt0101410,English,0,4
basic-instinct,tt0103772,English,0,2
batman,tt0035665,English,0,0
batman-mask-of-the-phantasm,tt0106364,English,0,0
batman-returns,tt0103776,English,0,7
battle-royale-2000,tt0266308,Japanese,0,0
battleship-potemkin,tt0015648,Russian,0,0
be-kind-rewind,tt0799934,English,0,0
bean,tt0118689,English,0,0
beasts-of-the-southern-wild,tt2125435,English,0,3
beau-travail,tt0209933,French,0,0
beauty-and-the-beast-1991,tt0038348,French,0,0
beauty-and-the-beast-re-release,tt0038348,French,0,0
beavis-and-butt-head-do-america,tt0115641,English,0,0
bedazzled,tt0061391,English,0,0
bee-movie,tt0389790,English,0,0
beetlejuice,tt0094721,English,3,3
before-midnight,tt0015611,,0,0
before-night-falls,tt0247196,Russian,0,1
before-sunrise,tt0095848,Russian,0,0
before-sunset,tt0370617,,0,0
before-the-devil-knows-youre-dead,tt0292963,English,0,0
beginners,tt1532503,English,1,1
beginning,tt12235250,,0,0
behemoth,tt11146072,,0,0
being-17,tt4331970,French,0,0
being-john-malkovich,tt0120601,English,0,3
being-there,tt0078841,English,1,2
belle-2021,tt0106382,,0,0
ben-hur-1959,tt0052618,English,15,15
bending-the-arc,tt6370266,English,0,0
benediction,tt20600384,,0,0
best-in-show,tt0218839,English,0,0
between-the-temples,tt27722375,English,0,0
beverly-hills-cop,tt0086960,English,0,2
beverly-hills-cop-ii,tt0092644,English,0,0
beyond-utopia,tt25470468,Korean,0,0
bicentennial-man,tt0182789,English,0,1
big-daddy,tt0058968,English,0,0
big-fat-liar,tt0265298,English,0,0
big-fish,tt0319061,English,0,1
big-men,tt2789532,English,0,0
big-night,tt0115678,English,0,0
big-trouble-in-little-china,tt0090728,English,0,0
bigger-stronger-faster,tt1151309,English,0,0
bill-teds-bogus-journey,tt0101452,English,0,0
bill-teds-excellent-adventure,tt0096928,English,0,0
bill-traylor-chasing-ghosts,tt9108510,,0,0
billy-elliot,tt0249462,English,0,2
billy-madison,tt0112508,English,0,0
birdman-or-the-unexpected-virtue-of-ignorance,tt2562232,English,5,11
birds-of-passage,tt0194704,,0,0
birth,tt0149893,Japanese,0,0
bisbee-17,tt7520286,English,0,0
biutiful,tt1164999,Spanish,0,2
black-bag,tt30988739,English,0,0
black-box-diaries,tt30227076,Japanese,0,3
black-hawk-down,tt0265086,English,4,5
black-is-king,tt12607910,English,0,0
black-mother,tt8099132,,0,0
black-narcissus,tt0039192,English,3,2
black-orpheus,tt0053146,Portuguese,1,1
black-panther,tt0449975,,0,0
black-sabbath,tt0057603,Italian,0,0
black-snake-moan,tt0462200,English,0,0
black-swan,tt0271400,,0,0
blackfish,tt2545118,English,0,0
blackkklansman,tt7349662,English,4,4
blade,tt0069797,English,0,0
blade-ii,tt0187738,Czech,0,0
blade-runner,tt0083658,English,0,6
blade-runner-2049,tt1856101,English,4,7
blades-of-glory,tt0445934,English,0,0
blancanieves,tt1854513,Spanish,0,0
blast-from-the-past,tt0124298,English,0,0
blind,tt0090744,,0,0
blindness,tt0169624,,0,0
blissfully-yours,tt0317171,Thai,0,0
blknws-terms-conditions,tt17497960,English,0,0
blood-simple,tt0086979,English,0,0
bloody-nose-empty-pockets,tt11392114,English,0,0
bloody-sunday,tt0280491,English,0,0
blow,tt0221027,English,0,0
blow-out,tt0082085,English,0,0
blow-up,tt0060176,English,0,3
blue-film,tt34915693,English,0,0
blue-heron,tt32252801,English,0,0
blue-jean,tt8649344,English,0,0
blue-streak,tt0181316,English,0,0
blue-sun-palace,tt32119297,,0,0
blue-valentine,tt1120985,English,0,1
blue-velvet,tt0090756,English,0,0
bob-dylan-dont-look-back,tt0061589,English,0,0
body-heat,tt0082089,English,0,0
body-of-lies,tt0758774,English,0,0
bolt,tt0397892,English,0,2
bombshell-1933,tt0023825,English,0,0
bonnie-and-clyde,tt0061418,English,2,9
boogie-nights,tt0118749,English,0,3
booksmart,tt1489887,English,0,0
borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan,tt0443453,English,0,5
born-on-the-fourth-of-july,tt0096969,English,2,11
bottle-rocket,tt0115734,English,0,0
bowling-for-columbine,tt0310793,English,1,0
boyhood,tt0044029,Japanese,0,0
boys-dont-cry,tt0171804,English,1,2
boys-state,tt11095742,English,0,0
boyz-n-the-hood,tt0101507,English,0,1
brazil,tt0036670,English,0,2
breakdown,tt0044445,English,0,0
breakfast-at-tiffanys,tt0054698,English,1,7
breaking-away,tt0078902,English,1,3
breaking-the-waves,tt0115751,English,0,1
breathless-1960,tt0053472,English,0,0
bride-of-chucky,tt0144120,English,0,0
bridge-of-spies,tt3682448,Russian,1,11
bridge-to-terabithia,tt0398808,English,0,0
bridget-joness-diary,tt0243155,English,0,1
brief-encounter,tt0037558,English,0,4
bright-star,tt0810784,English,0,1
bring-it-on,tt0204946,English,0,0
bringing-out-the-dead,tt0163988,English,0,0
bringing-up-baby,tt0029947,English,0,0
broadcast-news,tt0092699,English,0,6
broadway-danny-rose,tt0087003,English,0,1
brokeback-mountain,tt0388795,English,3,7
broken-arrow,tt0042286,English,0,3
broken-flowers,tt0412019,English,0,0
bronson,tt1172570,English,0,0
brooklyn,tt1458730,,0,0
brooklyns-finest,tt1210042,English,0,0
brother-bear,tt0328880,Inuktitut,0,2
brotherhood-of-the-wolf,tt0237534,Italian,0,0
brothers,tt0019732,,0,0
brothers-keeper,tt0103888,English,0,0
bruiser,tt0212830,English,0,0
brute-force,tt0039224,English,0,0
buena-vista-social-club,tt0186508,English,0,1
bugsy,tt0101516,English,3,9
bullitt,tt0062765,English,1,2
bunraku,tt1181795,English,0,0
buried,tt0165658,,0,0
burma-vj-reporter-i-et-lukket-land,tt1333634,Burmese,0,1
burn-after-reading,tt0887883,English,0,0
burning,tt14671620,English,0,0
burning-bush,tt2543184,,0,0
bus-174,tt0340468,Portuguese,0,0
butch-cassidy-and-the-sundance-kid,tt0064115,English,3,5
cabaret,tt0017724,,0,0
cabin-fever,tt0268509,Norwegian,0,0
cactus-pears,tt29310002,Marathi,0,0
caddyshack,tt0080487,English,0,0
cafe-lumiere,tt0412596,Japanese,0,0
california-split,tt0071269,English,0,0
call-me-by-your-name,tt5726616,English,1,3
calle-54,tt0260775,Spanish,0,0
cameraperson,tt5375040,English,0,0
can-you-ever-forgive-me,tt4595882,English,0,4
candyman,tt0103919,English,0,0
capitalism-a-love-story,tt1232207,Russian,0,0
capote,tt0379725,English,1,3
