movie_slug,subgenre_name
a-nightmare-on-elm-street-4-the-dream-master,horror film
a-nightmare-on-elm-street-4-the-dream-master,slasher film
a-nightmare-on-elm-street-4-the-dream-master,teen film
a-perfect-murder,crime film
a-perfect-murder,thriller film
a-pigeon-sat-on-a-branch-reflecting-on-existence,comedy film
a-pigeon-sat-on-a-branch-reflecting-on-existence,drama film
a-poet,documentary film
a-poet,drama film
a-prophet,drama film
a-prophet,gangster film
a-prophet,prison film
a-prophet,thriller film
a-real-pain,comedy drama
a-river-runs-through-it,biographical film
a-river-runs-through-it,coming-of-age film
a-river-runs-through-it,drama film
a-room-with-a-view,drama film
a-room-with-a-view,romantic comedy
a-self-made-hero,drama film
a-separation,drama film
a-serious-man,comedy drama
a-serious-man,drama film
a-simple-plan,crime film
a-simple-plan,drama film
a-simple-plan,neo-noir
a-single-man,comedy film
a-single-man,silent film
a-star-is-born,drama film
a-star-is-born,musical film
a-star-is-born,romance film
a-star-is-born-1954,drama film
a-star-is-born-1954,musical film
a-star-is-born-1954,romance film
a-streetcar-named-desire,drama film
a-summers-tale,comedy drama
a-summers-tale,comedy film
a-tale-of-two-cities,drama film
a-tale-of-two-cities,silent film
a-tale-of-two-sisters,drama film
a-tale-of-two-sisters,horror film
a-tale-of-two-sisters,mystery film
a-tale-of-two-sisters,psychological horror fiction
a-thousand-and-one,drama film
a-thousand-cuts,documentary film
a-time-to-kill,crime film
a-time-to-kill,drama film
a-time-to-kill,thriller film
a-time-to-kill,trial film
a-time-to-kill,vigilante film
a-useful-ghost,black comedy film
a-useful-ghost,comedy drama
a-useful-ghost,fantasy film
a-very-long-engagement,drama film
a-very-long-engagement,romance film
a-very-long-engagement,war film
a-walk-to-remember,coming-of-age film
a-walk-to-remember,drama film
a-walk-to-remember,romance film
a-walk-to-remember,teen film
a-war,drama film
a-war,war film
a-white-white-day,drama film
a-woman-under-the-influence,art film
a-woman-under-the-influence,drama film
about-dry-grasses,drama film
about-elly-2009,drama film
about-endlessness,drama film
about-schmidt,comedy film
about-schmidt,drama film
accepted,comedy film
accepted,teen film
ace-ventura-pet-detective,action film
ace-ventura-pet-detective,American football film
ace-ventura-pet-detective,comedy film
ace-ventura-pet-detective,LGBTQ-related film
ace-ventura-when-nature-calls,comedy film
across-the-universe,drama film
across-the-universe,fantasy film
